Date,High,Low,Close
1983-03-30T00:00:00,29.56,29.01,29.4
1983-03-31T00:00:00,29.6,29.25,29.27
1983-04-04T00:00:00,29.7,29.29,29.44
1983-04-05T00:00:00,29.8,29.5,29.71
1983-04-06T00:00:00,29.92,29.65,29.9
1983-04-07T00:00:00,30.2,29.86,30.17
1983-04-08T00:00:00,30.65,30.25,30.38
1983-04-11T00:00:00,30.41,30.0,30.25
1983-04-12T00:00:00,31.0,30.5,30.83
1983-04-13T00:00:00,30.95,30.6,30.82
1983-04-14T00:00:00,30.86,30.65,30.82
1983-04-15T00:00:00,30.6,30.35,30.48
1983-04-18T00:00:00,30.8,30.55,30.75
1983-04-19T00:00:00,30.85,30.7,30.75
1983-04-20T00:00:00,30.77,30.6,30.7
1983-04-21T00:00:00,30.75,30.58,30.68
1983-04-22T00:00:00,30.85,30.62,30.75
1983-04-25T00:00:00,30.89,30.78,30.84
1983-04-26T00:00:00,30.85,30.69,30.71
1983-04-27T00:00:00,30.82,30.78,30.78
1983-04-28T00:00:00,30.9,30.68,30.74
1983-04-29T00:00:00,30.74,30.63,30.63
1983-05-02T00:00:00,30.72,30.57,30.61
1983-05-03T00:00:00,30.7,30.45,30.5
1983-05-04T00:00:00,30.55,30.39,30.42
1983-05-05T00:00:00,30.47,30.2,30.2
1983-05-06T00:00:00,30.43,29.95,30.12
1983-05-09T00:00:00,30.43,29.95,30.1
1983-05-10T00:00:00,30.4,30.1,30.31
1983-05-11T00:00:00,30.15,29.95,29.97
1983-05-12T00:00:00,29.85,29.64,29.72
1983-05-13T00:00:00,29.8,29.53,29.8
1983-05-16T00:00:00,30.12,29.85,30.12
1983-05-17T00:00:00,30.2,29.9,29.91
1983-05-18T00:00:00,29.78,29.25,29.75
1983-05-19T00:00:00,30.0,29.91,29.95
1983-05-20T00:00:00,30.66,30.1,30.3
1983-05-23T00:00:00,30.5,30.25,30.27
1983-05-24T00:00:00,30.07,29.95,30.05
1983-05-25T00:00:00,30.25,29.95,30.25
1983-05-26T00:00:00,30.5,30.3,30.31
1983-05-27T00:00:00,30.48,30.15,30.19
1983-05-31T00:00:00,30.45,30.05,30.25
1983-06-01T00:00:00,30.35,30.2,30.33
1983-06-02T00:00:00,30.45,30.4,30.4
1983-06-03T00:00:00,30.45,30.3,30.36
1983-06-06T00:00:00,30.35,30.3,30.35
1983-06-07T00:00:00,30.6,30.1,30.58
1983-06-08T00:00:00,30.71,30.59,30.6
1983-06-09T00:00:00,30.65,30.45,30.49
1983-06-10T00:00:00,30.8,30.55,30.77
1983-06-13T00:00:00,31.05,30.85,31.0
1983-06-14T00:00:00,31.25,31.0,31.0
1983-06-15T00:00:00,31.3,31.1,31.3
1983-06-16T00:00:00,31.65,31.3,31.6
1983-06-17T00:00:00,31.6,31.4,31.4
1983-06-20T00:00:00,31.58,31.37,31.42
1983-06-21T00:00:00,31.35,31.15,31.18
1983-06-22T00:00:00,31.2,30.85,30.95
1983-06-23T00:00:00,31.3,31.1,31.1
1983-06-24T00:00:00,31.24,31.05,31.2
1983-06-27T00:00:00,31.3,31.15,31.2
1983-06-28T00:00:00,31.25,31.05,31.24
1983-06-29T00:00:00,31.2,31.15,31.2
1983-06-30T00:00:00,31.4,31.25,31.38
1983-07-01T00:00:00,31.45,31.3,31.35
1983-07-05T00:00:00,31.3,31.23,31.27
1983-07-06T00:00:00,31.2,31.0,31.2
1983-07-07T00:00:00,31.4,31.25,31.4
1983-07-08T00:00:00,31.45,31.38,31.4
1983-07-11T00:00:00,31.64,31.5,31.64
1983-07-12T00:00:00,31.9,31.71,31.72
1983-07-13T00:00:00,31.92,31.8,31.87
1983-07-14T00:00:00,31.85,31.77,31.85
1983-07-15T00:00:00,31.85,31.7,31.7
1983-07-18T00:00:00,31.8,31.7,31.7
1983-07-19T00:00:00,31.62,31.43,31.62
1983-07-20T00:00:00,31.7,31.65,31.65
1983-07-21T00:00:00,31.6,31.5,31.51
1983-07-22T00:00:00,31.55,31.43,31.46
1983-07-25T00:00:00,31.45,31.35,31.4
1983-07-26T00:00:00,31.55,31.42,31.53
1983-07-27T00:00:00,31.8,31.65,31.73
1983-07-28T00:00:00,31.88,31.73,31.82
1983-07-29T00:00:00,32.02,31.9,32.0
1983-08-01T00:00:00,32.12,31.91,32.12
1983-08-02T00:00:00,32.35,32.23,32.2
1983-08-03T00:00:00,32.2,32.06,32.2
1983-08-04T00:00:00,32.3,32.17,32.14
1983-08-05T00:00:00,32.15,32.04,32.15
1983-08-08T00:00:00,32.05,32.03,32.05
1983-08-09T00:00:00,32.04,31.91,31.94
1983-08-10T00:00:00,32.23,32.12,32.14
1983-08-11T00:00:00,32.18,31.95,31.95
1983-08-12T00:00:00,32.0,31.95,31.99
1983-08-15T00:00:00,32.04,31.99,32.0
1983-08-16T00:00:00,32.01,31.98,31.98
1983-08-17T00:00:00,31.92,31.82,31.87
1983-08-18T00:00:00,31.9,31.7,31.72
1983-08-19T00:00:00,31.75,31.58,31.65
1983-08-22T00:00:00,31.62,31.5,31.53
1983-08-23T00:00:00,31.65,31.5,31.65
1983-08-24T00:00:00,31.8,31.55,31.57
1983-08-25T00:00:00,31.75,31.6,31.73
1983-08-26T00:00:00,31.81,31.75,31.8
1983-08-29T00:00:00,31.75,31.65,31.66
1983-08-30T00:00:00,31.7,31.56,31.68
1983-08-31T00:00:00,31.62,31.58,31.59
1983-09-01T00:00:00,31.6,31.53,31.6
1983-09-02T00:00:00,31.62,31.53,31.57
1983-09-06T00:00:00,31.48,31.31,31.36
1983-09-07T00:00:00,31.47,31.36,31.38
1983-09-08T00:00:00,31.35,31.2,31.34
1983-09-09T00:00:00,31.4,31.21,31.21
1983-09-12T00:00:00,31.27,31.14,31.15
1983-09-13T00:00:00,31.4,31.15,31.23
1983-09-14T00:00:00,31.55,31.14,31.4
1983-09-15T00:00:00,31.65,31.45,31.48
1983-09-16T00:00:00,31.56,31.4,31.55
1983-09-19T00:00:00,31.56,31.4,31.48
1983-09-20T00:00:00,31.5,31.3,31.33
1983-09-21T00:00:00,31.41,31.2,31.39
1983-09-22T00:00:00,31.42,31.3,31.3
1983-09-23T00:00:00,31.37,31.3,31.3
1983-09-26T00:00:00,31.3,31.2,31.22
1983-09-27T00:00:00,31.15,31.1,31.11
1983-09-28T00:00:00,31.06,30.72,30.76
1983-09-29T00:00:00,30.86,30.45,30.6
1983-09-30T00:00:00,30.55,30.2,30.36
1983-10-03T00:00:00,30.32,29.88,29.92
1983-10-04T00:00:00,30.43,29.7,30.18
1983-10-05T00:00:00,30.8,30.1,30.2
1983-10-06T00:00:00,30.35,30.14,30.26
1983-10-07T00:00:00,30.65,30.37,30.47
1983-10-10T00:00:00,30.85,30.75,30.85
1983-10-11T00:00:00,30.78,30.55,30.57
1983-10-12T00:00:00,30.57,30.41,30.52
1983-10-13T00:00:00,30.75,30.5,30.66
1983-10-14T00:00:00,30.73,30.5,30.55
1983-10-17T00:00:00,30.65,30.45,30.61
1983-10-18T00:00:00,30.68,30.57,30.68
1983-10-19T00:00:00,30.54,30.25,30.32
1983-10-20T00:00:00,30.3,30.15,30.3
1983-10-21T00:00:00,30.4,30.25,30.33
1983-10-24T00:00:00,30.48,30.39,30.44
1983-10-25T00:00:00,30.47,30.38,30.43
1983-10-26T00:00:00,30.3,30.18,30.23
1983-10-27T00:00:00,30.35,30.18,30.31
1983-10-28T00:00:00,30.43,30.23,30.26
1983-10-31T00:00:00,30.39,30.16,30.37
1983-11-01T00:00:00,30.42,30.31,30.38
1983-11-02T00:00:00,30.46,30.35,30.35
1983-11-03T00:00:00,30.48,30.39,30.42
1983-11-04T00:00:00,30.55,30.35,30.46
1983-11-07T00:00:00,30.46,30.36,30.39
1983-11-08T00:00:00,30.42,30.31,30.38
1983-11-09T00:00:00,30.48,30.35,30.38
1983-11-10T00:00:00,30.3,30.2,30.26
1983-11-11T00:00:00,30.31,30.1,30.14
1983-11-14T00:00:00,30.22,30.07,30.15
1983-11-15T00:00:00,30.25,30.08,30.17
1983-11-16T00:00:00,30.27,29.92,29.95
1983-11-17T00:00:00,29.25,29.25,29.25
1983-11-18T00:00:00,29.23,28.84,29.19
1983-11-21T00:00:00,29.26,29.05,29.14
1983-11-22T00:00:00,29.21,29.03,29.04
1983-11-23T00:00:00,29.28,29.11,29.19
1983-11-28T00:00:00,29.9,29.43,29.69
1983-11-29T00:00:00,29.7,29.33,29.39
1983-11-30T00:00:00,29.44,29.11,29.23
1983-12-01T00:00:00,29.38,29.25,29.28
1983-12-02T00:00:00,29.42,29.26,29.38
1983-12-05T00:00:00,29.4,29.27,29.3
1983-12-06T00:00:00,29.32,29.13,29.29
1983-12-07T00:00:00,29.15,29.0,29.06
1983-12-08T00:00:00,29.35,29.06,29.27
1983-12-09T00:00:00,29.35,29.23,29.31
1983-12-12T00:00:00,29.5,29.26,29.27
1983-12-13T00:00:00,29.3,29.2,29.21
1983-12-14T00:00:00,29.33,29.14,29.28
1983-12-15T00:00:00,29.23,29.08,29.11
1983-12-16T00:00:00,29.13,28.57,28.57
1983-12-19T00:00:00,28.42,28.27,28.38
1983-12-20T00:00:00,28.8,28.45,28.76
1983-12-21T00:00:00,29.3,28.73,28.88
1983-12-22T00:00:00,29.12,28.76,29.08
1983-12-23T00:00:00,29.5,29.15,29.44
1983-12-27T00:00:00,30.17,29.59,29.85
1983-12-28T00:00:00,30.07,29.62,29.98
1983-12-29T00:00:00,29.83,29.54,29.66
1983-12-30T00:00:00,29.8,29.36,29.6
1984-01-03T00:00:00,29.57,29.25,29.4
1984-01-04T00:00:00,29.7,29.44,29.5
1984-01-05T00:00:00,30.1,29.05,29.3
1984-01-06T00:00:00,29.44,28.95,29.18
1984-01-09T00:00:00,29.47,29.08,29.47
1984-01-10T00:00:00,29.65,29.32,29.45
1984-01-11T00:00:00,29.7,29.42,29.46
1984-01-12T00:00:00,29.54,29.35,29.51
1984-01-13T00:00:00,29.6,29.5,29.58
1984-01-16T00:00:00,29.84,29.7,29.72
1984-01-17T00:00:00,29.81,29.56,29.57
1984-01-18T00:00:00,29.95,29.4,29.79
1984-01-19T00:00:00,30.26,30.26,30.26
1984-01-20T00:00:00,30.01,29.8,29.89
1984-01-23T00:00:00,30.01,29.47,29.52
1984-01-24T00:00:00,29.74,29.4,29.7
1984-01-25T00:00:00,29.78,29.65,29.78
1984-01-26T00:00:00,30.0,29.64,29.95
1984-01-27T00:00:00,30.2,30.0,30.14
1984-01-30T00:00:00,30.12,29.85,29.89
1984-01-31T00:00:00,30.09,29.86,29.98
1984-02-01T00:00:00,30.31,30.15,30.3
1984-02-02T00:00:00,30.38,30.14,30.19
1984-02-03T00:00:00,30.29,30.09,30.11
1984-02-06T00:00:00,30.22,30.01,30.16
1984-02-07T00:00:00,30.16,30.0,30.04
1984-02-08T00:00:00,30.1,29.99,30.04
1984-02-09T00:00:00,30.0,29.78,29.83
1984-02-10T00:00:00,29.88,29.75,29.83
1984-02-13T00:00:00,29.85,29.57,29.63
1984-02-14T00:00:00,29.74,29.45,29.74
1984-02-15T00:00:00,29.9,29.6,29.83
