Date,High,Low,Close,DayNumber,Month_Number,DayMonth
1983-03-30T00:00:00,29.56,29.01,29.4,2,300,30
1983-03-31T00:00:00,29.6,29.25,29.27,3,300,31
1983-04-04T00:00:00,29.7,29.29,29.44,0,400,4
1983-04-05T00:00:00,29.8,29.5,29.71,1,400,5
1983-04-06T00:00:00,29.92,29.65,29.9,2,400,6
1983-04-07T00:00:00,30.2,29.86,30.17,3,400,7
1983-04-08T00:00:00,30.65,30.25,30.38,4,400,8
1983-04-11T00:00:00,30.41,30.0,30.25,0,400,11
1983-04-12T00:00:00,31.0,30.5,30.83,1,400,12
1983-04-13T00:00:00,30.95,30.6,30.82,2,400,13
1983-04-14T00:00:00,30.86,30.65,30.82,3,400,14
1983-04-15T00:00:00,30.6,30.35,30.48,4,400,15
1983-04-18T00:00:00,30.8,30.55,30.75,0,400,18
1983-04-19T00:00:00,30.85,30.7,30.75,1,400,19
1983-04-20T00:00:00,30.77,30.6,30.7,2,400,20
1983-04-21T00:00:00,30.75,30.58,30.68,3,400,21
1983-04-22T00:00:00,30.85,30.62,30.75,4,400,22
1983-04-25T00:00:00,30.89,30.78,30.84,0,400,25
1983-04-26T00:00:00,30.85,30.69,30.71,1,400,26
1983-04-27T00:00:00,30.82,30.78,30.78,2,400,27
1983-04-28T00:00:00,30.9,30.68,30.74,3,400,28
1983-04-29T00:00:00,30.74,30.63,30.63,4,400,29
1983-05-02T00:00:00,30.72,30.57,30.61,0,500,2
1983-05-03T00:00:00,30.7,30.45,30.5,1,500,3
1983-05-04T00:00:00,30.55,30.39,30.42,2,500,4
1983-05-05T00:00:00,30.47,30.2,30.2,3,500,5
1983-05-06T00:00:00,30.43,29.95,30.12,4,500,6
1983-05-09T00:00:00,30.43,29.95,30.1,0,500,9
1983-05-10T00:00:00,30.4,30.1,30.31,1,500,10
1983-05-11T00:00:00,30.15,29.95,29.97,2,500,11
1983-05-12T00:00:00,29.85,29.64,29.72,3,500,12
1983-05-13T00:00:00,29.8,29.53,29.8,4,500,13
1983-05-16T00:00:00,30.12,29.85,30.12,0,500,16
1983-05-17T00:00:00,30.2,29.9,29.91,1,500,17
1983-05-18T00:00:00,29.78,29.25,29.75,2,500,18
1983-05-19T00:00:00,30.0,29.91,29.95,3,500,19
1983-05-20T00:00:00,30.66,30.1,30.3,4,500,20
1983-05-23T00:00:00,30.5,30.25,30.27,0,500,23
1983-05-24T00:00:00,30.07,29.95,30.05,1,500,24
1983-05-25T00:00:00,30.25,29.95,30.25,2,500,25
1983-05-26T00:00:00,30.5,30.3,30.31,3,500,26
1983-05-27T00:00:00,30.48,30.15,30.19,4,500,27
1983-05-31T00:00:00,30.45,30.05,30.25,1,500,31
1983-06-01T00:00:00,30.35,30.2,30.33,2,600,1
1983-06-02T00:00:00,30.45,30.4,30.4,3,600,2
1983-06-03T00:00:00,30.45,30.3,30.36,4,600,3
1983-06-06T00:00:00,30.35,30.3,30.35,0,600,6
1983-06-07T00:00:00,30.6,30.1,30.58,1,600,7
1983-06-08T00:00:00,30.71,30.59,30.6,2,600,8
1983-06-09T00:00:00,30.65,30.45,30.49,3,600,9
1983-06-10T00:00:00,30.8,30.55,30.77,4,600,10
1983-06-13T00:00:00,31.05,30.85,31.0,0,600,13
1983-06-14T00:00:00,31.25,31.0,31.0,1,600,14
1983-06-15T00:00:00,31.3,31.1,31.3,2,600,15
1983-06-16T00:00:00,31.65,31.3,31.6,3,600,16
1983-06-17T00:00:00,31.6,31.4,31.4,4,600,17
1983-06-20T00:00:00,31.58,31.37,31.42,0,600,20
