Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,CloseMaxVSubPeriod,CloseAll_Area,CloseminVSuberiod,daily_volatility,is_crisis
2001-01-02,27.4,26.65,27.21,1,100,2,2001,25.77,0.8675686889553209,35.38,0.028142589118198877,0
2001-01-03,28.14,27.08,28.0,2,100,3,2001,25.77,0.8096243021139309,34.63,0.03914327917282136,0
2001-01-04,28.72,27.67,28.14,3,100,4,2001,25.77,0.808624638097489,34.63,0.037947235272858586,0
2001-01-05,28.78,27.86,27.95,4,100,5,2001,25.77,0.7336585741543286,33.82,0.03302225412778183,0
2001-01-08,28.38,27.2,27.32,0,100,8,2001,25.77,0.5276002970871341,32.02,0.04338235294117646,0
2001-01-09,27.72,26.92,27.64,1,100,9,2001,25.77,0.4333994657523158,31.22,0.02971768202080227,0
2001-01-11,29.9,29.0,29.41,3,100,11,2001,25.77,0.2846367169202033,29.85,0.03103448275862064,0
2001-01-12,30.15,29.34,30.05,4,100,12,2001,25.77,0.3130091516371687,30.05,0.02760736196319014,0
2001-01-16,30.61,29.85,30.29,1,100,16,2001,25.77,0.3471321016228106,30.29,0.02546063651591283,0
2001-01-18,30.51,29.35,30.45,3,100,18,2001,25.77,0.3783945405786876,30.45,0.03952299829642249,0
2001-01-22,32.7,31.8,32.19,0,100,22,2001,25.77,0.6125251334648183,32.19,0.028301886792452897,0
2001-01-23,29.75,29.07,29.57,1,100,23,2001,25.77,0.6195271778741678,32.19,0.023391812865497064,0
2001-01-24,29.8,28.65,29.05,2,100,24,2001,25.77,0.6257393079853921,32.19,0.0401396160558465,0
2001-01-25,29.47,28.81,29.36,3,100,25,2001,25.77,0.6340888469103595,32.19,0.022908712252690044,0
2001-01-26,29.98,29.27,29.77,4,100,26,2001,25.77,0.639346525937529,32.19,0.02425691834642982,0
2001-01-29,30.13,28.86,29.06,0,100,29,2001,25.85,0.6425470189162812,32.19,0.04400554400554399,0
2001-01-30,29.33,28.68,29.06,1,100,30,2001,25.85,0.6480995058949949,32.19,0.022663877266387678,0
