Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,CloseMaxVSubPeriod,CloseAll_Area,CloseminVSuberiod,daily_volatility,is_crisis
1983-06-23,31.3,31.1,31.1,3,600,23,1983,29.95,0.8321251097764579,31.6,0.006430868167202549,0
1983-06-24,31.24,31.05,31.2,4,600,24,1983,30.05,0.7999158743050662,31.6,0.006119162640901698,0
1983-06-27,31.3,31.15,31.2,0,600,27,1983,30.05,0.8266629526315201,31.6,0.0048154093097914005,0
1983-06-28,31.25,31.05,31.24,1,600,28,1983,30.05,0.8481035478465158,31.6,0.006441223832528157,0
1983-06-29,31.2,31.15,31.2,2,600,29,1983,30.19,0.7854636660464538,31.6,0.0016051364365971337,0
1983-06-30,31.4,31.25,31.38,3,600,30,1983,30.19,0.7965510022671731,31.6,0.0047999999999999545,0
1983-07-01,31.45,31.3,31.35,4,700,1,1983,30.19,0.8016766220991092,31.6,0.004792332268370562,0
1983-07-05,31.3,31.23,31.27,1,700,5,1983,30.25,0.7685686813443368,31.6,0.0022414345180915875,0
1983-07-06,31.2,31.0,31.2,2,700,6,1983,30.33,0.7228212238418095,31.6,0.006451612903225784,0
1983-07-07,31.4,31.25,31.4,3,700,7,1983,30.35,0.708357449818903,31.6,0.0047999999999999545,0
1983-07-08,31.45,31.38,31.4,4,700,8,1983,30.35,0.707708393823385,31.6,0.0022307202039515707,0
1983-07-11,31.64,31.5,31.64,0,700,11,1983,30.35,0.7097765138831764,31.64,0.004444444444444463,0
1983-07-12,31.9,31.71,31.72,1,700,12,1983,30.49,0.6257112032584631,31.72,0.005991800693787377,0
1983-07-13,31.92,31.8,31.87,2,700,13,1983,30.49,0.6407641690794283,31.87,0.0037735849056604086,0
1983-07-14,31.85,31.77,31.85,3,700,14,1983,30.49,0.6428006346005286,31.87,0.0025180988353793467,0
1983-07-15,31.85,31.7,31.7,4,700,15,1983,30.77,0.4571058970206669,31.87,0.004731861198738238,0
1983-07-18,31.8,31.7,31.7,0,700,18,1983,30.95,0.344645210900517,31.87,0.0031545741324921586,0
1983-07-19,31.62,31.43,31.62,1,700,19,1983,30.95,0.3519192118445554,31.87,0.006045179764556197,0
1983-07-20,31.7,31.65,31.65,2,700,20,1983,30.95,0.3581222810503455,31.87,0.0015797788309636876,0
1983-07-21,31.6,31.5,31.51,3,700,21,1983,30.95,0.3640712065023777,31.87,0.0031746031746032197,0
1983-07-22,31.55,31.43,31.46,4,700,22,1983,30.95,0.3688800490817167,31.87,0.0038180082723512886,0
1983-07-25,31.45,31.35,31.4,0,700,25,1983,30.95,0.3734809742368028,31.87,0.003189792663476806,0
1983-07-26,31.55,31.42,31.53,1,700,26,1983,30.95,0.3794882100864011,31.87,0.0041374920432845005,0
1983-07-27,31.8,31.65,31.73,2,700,27,1983,30.95,0.38610651155439,31.87,0.004739336492891062,0
1983-07-28,31.88,31.73,31.82,3,700,28,1983,31.1,0.3039014535522629,31.87,0.004727387330601909,0
1983-07-29,32.02,31.9,32.0,4,700,29,1983,31.2,0.2797688428918623,32.0,0.0037617554858935596,0
1983-08-01,32.12,31.91,32.12,0,800,1,1983,31.2,0.309547964842995,32.12,0.006581009088060085,0
1983-08-02,32.35,32.23,32.2,1,800,2,1983,31.2,0.3339667287803536,32.2,0.0037232392181199055,0
1983-08-03,32.2,32.06,32.2,2,800,3,1983,31.2,0.3485349274093963,32.2,0.004366812227074253,0
1983-08-04,32.3,32.17,32.14,3,800,4,1983,31.2,0.3603813897397628,32.2,0.004041032017407381,0
1983-08-05,32.15,32.04,32.15,4,800,5,1983,31.2,0.3750779067975845,32.2,0.003433208489388247,0
1983-08-08,32.05,32.03,32.05,0,800,8,1983,31.2,0.3927694453104509,32.2,0.0006244146113017802,0
1983-08-09,32.04,31.91,31.94,1,800,9,1983,31.2,0.4102205139785153,32.2,0.004073958006894359,0
1983-08-10,32.23,32.12,32.14,2,800,10,1983,31.4,0.308319075141737,32.2,0.003424657534246558,0
1983-08-11,32.18,31.95,31.95,3,800,11,1983,31.4,0.322774610902258,32.2,0.00719874804381848,0
1983-08-12,32.0,31.95,31.99,4,800,12,1983,31.4,0.3405430320763815,32.2,0.0015649452269170803,0
1983-08-15,32.04,31.99,32.0,0,800,15,1983,31.4,0.3573801338605379,32.2,0.0015629884338856114,0
1983-08-16,32.01,31.98,31.98,1,800,16,1983,31.4,0.3705030747407215,32.2,0.0009380863039398869,0
1983-08-17,31.92,31.82,31.87,2,800,17,1983,31.4,0.3844691257372694,32.2,0.003142677561282257,0
1983-08-18,31.9,31.7,31.72,3,800,18,1983,31.4,0.402928361797221,32.2,0.006309148264984205,0
1983-08-19,31.75,31.58,31.65,4,800,19,1983,31.4,0.4192011881351971,32.2,0.0053831538948702256,0
1983-08-22,31.62,31.5,31.53,0,800,22,1983,31.4,0.435173576972829,32.2,0.003809523809523841,0
