Date,High,Low,Close,DayNumber
2010-01-04T00:00:00,81.79,79.63,81.51,0
2010-01-05T00:00:00,82.0,80.95,81.77,1
2010-01-06T00:00:00,83.52,80.85,83.18,2
2010-01-07T00:00:00,83.36,82.26,82.66,3
2010-01-08T00:00:00,83.47,81.8,82.75,4
2010-01-11T00:00:00,83.95,81.96,82.52,0
2010-01-12T00:00:00,82.34,79.91,80.79,1
2010-01-13T00:00:00,80.67,78.37,79.65,2
2010-01-14T00:00:00,80.36,78.92,79.39,3
2010-01-15T00:00:00,79.31,77.7,78.0,4
2010-01-19T00:00:00,79.15,76.76,79.02,1
2010-01-20T00:00:00,79.03,76.96,77.62,2
2010-01-21T00:00:00,78.36,75.66,76.08,3
2010-01-22T00:00:00,76.5,74.01,74.54,4
2010-01-25T00:00:00,75.42,74.06,75.26,0
2010-01-26T00:00:00,75.39,73.82,74.71,1
2010-01-27T00:00:00,75.09,72.65,73.67,2
2010-01-28T00:00:00,74.49,72.93,73.64,3
2010-01-29T00:00:00,74.82,72.43,72.89,4
2010-02-01T00:00:00,74.99,72.49,74.43,0
2010-02-02T00:00:00,77.41,74.4,77.23,1
2010-02-03T00:00:00,78.04,76.52,76.98,2
2010-02-04T00:00:00,77.17,72.42,73.14,3
2010-02-05T00:00:00,73.94,69.5,71.19,4
2010-02-08T00:00:00,72.39,70.77,71.89,0
2010-02-09T00:00:00,74.15,71.32,73.75,1
2010-02-10T00:00:00,74.97,72.6,74.52,2
2010-02-11T00:00:00,75.69,73.38,75.28,3
2010-02-12T00:00:00,75.35,72.66,74.13,4
2010-02-16T00:00:00,77.42,73.71,77.01,1
2010-02-17T00:00:00,77.82,76.53,77.33,2
2010-02-18T00:00:00,79.29,76.32,79.06,3
2010-02-19T00:00:00,80.1,77.76,79.81,4
2010-02-22T00:00:00,80.51,79.45,80.16,0
2010-02-23T00:00:00,80.39,78.22,78.86,1
2010-02-24T00:00:00,80.45,78.25,80.0,2
2010-02-25T00:00:00,80.32,77.05,78.17,3
2010-02-26T00:00:00,80.05,77.82,79.66,4
2010-03-01T00:00:00,80.62,78.06,78.7,0
2010-03-02T00:00:00,80.95,78.26,79.68,1
2010-03-03T00:00:00,81.23,79.44,80.87,2
2010-03-04T00:00:00,81.09,79.7,80.21,3
2010-03-05T00:00:00,82.07,80.47,81.5,4
2010-03-08T00:00:00,82.41,80.75,81.87,0
2010-03-09T00:00:00,81.91,80.16,81.49,1
2010-03-10T00:00:00,83.03,80.81,82.09,2
2010-03-11T00:00:00,82.38,81.33,82.11,3
2010-03-12T00:00:00,83.16,80.57,81.24,4
2010-03-15T00:00:00,81.31,79.13,79.8,0
2010-03-16T00:00:00,82.1,79.32,81.7,1
2010-03-17T00:00:00,83.09,81.72,82.93,2
2010-03-18T00:00:00,82.85,81.68,82.2,3
2010-03-19T00:00:00,82.17,79.86,80.68,4
2010-03-22T00:00:00,81.49,78.57,81.25,0
2010-03-23T00:00:00,82.2,80.85,81.91,1
2010-03-24T00:00:00,81.64,79.88,80.61,2
2010-03-25T00:00:00,81.48,80.1,80.53,3
2010-03-26T00:00:00,81.46,79.54,80.0,4
2010-03-29T00:00:00,82.78,80.18,82.17,0
2010-03-30T00:00:00,82.74,81.77,82.37,1
2010-03-31T00:00:00,83.85,82.22,83.76,2
2010-04-01T00:00:00,85.37,83.21,84.87,3
2010-04-05T00:00:00,86.9,85.06,86.62,0
2010-04-06T00:00:00,87.09,86.13,86.84,1
2010-04-07T00:00:00,87.0,85.52,85.88,2
2010-04-08T00:00:00,85.88,84.38,85.39,3
2010-04-09T00:00:00,86.37,84.12,84.92,4
2010-04-12T00:00:00,85.71,84.08,84.34,0
2010-04-13T00:00:00,84.42,82.51,84.05,1
2010-04-14T00:00:00,86.39,83.71,85.84,2
2010-04-15T00:00:00,86.27,85.27,85.51,3
2010-04-16T00:00:00,85.44,82.52,83.24,4
2010-04-19T00:00:00,83.0,80.53,81.45,0
2010-04-20T00:00:00,83.65,81.51,83.45,1
2010-04-21T00:00:00,84.64,82.92,83.68,2
2010-04-22T00:00:00,84.07,81.73,83.7,3
2010-04-23T00:00:00,85.19,82.92,85.12,4
2010-04-26T00:00:00,85.63,83.73,84.2,0
2010-04-27T00:00:00,84.33,81.7,82.44,1
2010-04-28T00:00:00,83.44,81.29,83.22,2
2010-04-29T00:00:00,85.63,83.01,85.17,3
2010-04-30T00:00:00,86.5,85.16,86.15,4
2010-05-03T00:00:00,87.15,85.83,86.19,0
2010-05-04T00:00:00,86.24,82.05,82.74,1
2010-05-05T00:00:00,82.83,79.15,79.97,2
2010-05-06T00:00:00,80.39,74.58,77.11,3
2010-05-07T00:00:00,78.19,74.51,75.11,4
2010-05-10T00:00:00,78.51,75.8,76.8,0
2010-05-11T00:00:00,77.68,75.36,76.37,1
2010-05-12T00:00:00,77.0,74.75,75.65,2
2010-05-13T00:00:00,76.45,73.62,74.4,3
2010-05-14T00:00:00,74.13,70.83,71.61,4
2010-05-17T00:00:00,72.25,69.27,70.08,0
2010-05-18T00:00:00,72.52,68.91,69.41,1
2010-05-19T00:00:00,71.43,67.9,69.87,2
2010-05-20T00:00:00,71.29,64.24,68.01,3
2010-05-21T00:00:00,71.23,69.0,70.04,4
2010-05-24T00:00:00,70.96,69.57,70.21,0
2010-05-25T00:00:00,70.04,67.15,68.75,1
2010-05-26T00:00:00,71.7,69.21,71.51,2
2010-05-27T00:00:00,74.95,70.67,74.55,3
2010-05-28T00:00:00,75.72,73.13,73.97,4
2010-06-01T00:00:00,75.33,71.64,72.58,1
2010-06-02T00:00:00,73.93,71.68,72.86,2
2010-06-03T00:00:00,74.95,72.32,74.61,3
2010-06-04T00:00:00,75.42,70.73,71.51,4
2010-06-07T00:00:00,72.49,69.51,71.44,0
2010-06-08T00:00:00,72.6,70.75,71.99,1
2010-06-09T00:00:00,74.96,72.03,74.38,2
2010-06-10T00:00:00,76.3,73.72,75.48,3
2010-06-11T00:00:00,75.64,73.26,73.78,4
2010-06-14T00:00:00,75.99,74.04,75.12,0
2010-06-15T00:00:00,77.16,74.62,76.94,1
2010-06-16T00:00:00,78.13,76.06,77.67,2
2010-06-17T00:00:00,77.79,76.17,76.79,3
2010-06-18T00:00:00,77.45,75.56,77.18,4
2010-06-21T00:00:00,78.92,76.88,77.82,0
2010-06-22T00:00:00,78.1,76.53,77.21,1
