Date,High,Low,Close,DayNumber,Month_Number,DayMonth,Year,CloseMaxVSubPeriod,CloseAll_Area,CloseminVSuberiod
2010-03-30T00:00:00,82.74,81.77,82.37,1,300,30,2010,78.17,0.4763214085185559,82.93
2010-03-31T00:00:00,83.85,82.22,83.76,2,300,31,2010,78.17,0.5140501060638405,83.76
2010-04-01T00:00:00,85.37,83.21,84.87,3,400,1,2010,78.7,0.48564291448810937,84.87
2010-04-05T00:00:00,86.9,85.06,86.62,0,400,5,2010,78.7,0.515657512423161,86.62
2010-04-06T00:00:00,87.09,86.13,86.84,1,400,6,2010,79.68,0.4123105223184005,86.84
2010-04-07T00:00:00,87.0,85.52,85.88,2,400,7,2010,79.8,0.40422042981033635,86.84
2010-04-08T00:00:00,85.88,84.38,85.39,3,400,8,2010,79.8,0.4084828702813661,86.84
2010-04-09T00:00:00,86.37,84.12,84.92,4,400,9,2010,79.8,0.4142621725887268,86.84
2010-04-12T00:00:00,85.71,84.08,84.34,0,400,12,2010,79.8,0.42054726441571055,86.84
2010-04-13T00:00:00,84.42,82.51,84.05,1,400,13,2010,79.8,0.4265150071467012,86.84
2010-04-14T00:00:00,86.39,83.71,85.84,2,400,14,2010,79.8,0.4357058258414558,86.84
2010-04-15T00:00:00,86.27,85.27,85.51,3,400,15,2010,79.8,0.44240390555931763,86.84
2010-04-16T00:00:00,85.44,82.52,83.24,4,400,16,2010,79.8,0.4491558201791912,86.84
2010-04-19T00:00:00,83.0,80.53,81.45,0,400,19,2010,79.8,0.4568454746886774,86.84
2010-04-20T00:00:00,83.65,81.51,83.45,1,400,20,2010,80.0,0.4496373708171314,86.84
2010-04-21T00:00:00,84.64,82.92,83.68,2,400,21,2010,80.0,0.46114462423264957,86.84
2010-04-22T00:00:00,84.07,81.73,83.7,3,400,22,2010,80.0,0.4741330880011982,86.84
2010-04-23T00:00:00,85.19,82.92,85.12,4,400,23,2010,80.0,0.4908086119521489,86.84
2010-04-26T00:00:00,85.63,83.73,84.2,0,400,26,2010,80.0,0.508129747547427,86.84
2010-04-27T00:00:00,84.33,81.7,82.44,1,400,27,2010,80.0,0.5282916754907315,86.84
2010-04-28T00:00:00,83.44,81.29,83.22,2,400,28,2010,80.0,0.54521238257051,86.84
2010-04-29T00:00:00,85.63,83.01,85.17,3,400,29,2010,80.0,0.5546565933355259,86.84
2010-04-30T00:00:00,86.5,85.16,86.15,4,400,30,2010,80.0,0.5641980158325889,86.84
2010-05-03T00:00:00,87.15,85.83,86.19,0,500,3,2010,81.45,0.4294193894549029,86.84
2010-05-04T00:00:00,86.24,82.05,82.74,1,500,4,2010,81.45,0.458944618926224,86.84
2010-05-05T00:00:00,82.83,79.15,79.97,2,500,5,2010,79.97,0.6670588142306948,86.84
2010-05-06T00:00:00,80.39,74.58,77.11,3,500,6,2010,77.11,0.8998214530644544,86.84
2010-05-07T00:00:00,78.19,74.51,75.11,4,500,7,2010,75.11,0.9467831694125571,86.84
2010-05-10T00:00:00,78.51,75.8,76.8,0,500,10,2010,75.11,0.9500272403971222,86.84
2010-05-11T00:00:00,77.68,75.36,76.37,1,500,11,2010,75.11,0.932611970234621,86.19
2010-05-12T00:00:00,77.0,74.75,75.65,2,500,12,2010,75.11,0.9295995621880614,86.19
2010-05-13T00:00:00,76.45,73.62,74.4,3,500,13,2010,74.4,0.9280895413917214,86.19
2010-05-14T00:00:00,74.13,70.83,71.61,4,500,14,2010,71.61,0.9220322269543277,86.19
2010-05-17T00:00:00,72.25,69.27,70.08,0,500,17,2010,70.08,0.9094821961674165,86.19
2010-05-18T00:00:00,72.52,68.91,69.41,1,500,18,2010,69.41,0.89793802254385,86.19
2010-05-19T00:00:00,71.43,67.9,69.87,2,500,19,2010,69.41,0.8888078549337048,86.19
2010-05-20T00:00:00,71.29,64.24,68.01,3,500,20,2010,68.01,0.880157617161073,86.19
2010-05-21T00:00:00,71.23,69.0,70.04,4,500,21,2010,68.01,0.8745158247857321,86.19
2010-05-24T00:00:00,70.96,69.57,70.21,0,500,24,2010,68.01,0.8701392994990105,86.19
2010-05-25T00:00:00,70.04,67.15,68.75,1,500,25,2010,68.01,0.8636951615160852,86.19
2010-05-26T00:00:00,71.7,69.21,71.51,2,500,26,2010,68.01,0.8614946971875088,86.19
2010-05-27T00:00:00,74.95,70.67,74.55,3,500,27,2010,68.01,0.8622734544834663,86.19
2010-05-28T00:00:00,75.72,73.13,73.97,4,500,28,2010,68.01,0.8623463487212747,86.19
2010-06-01T00:00:00,75.33,71.64,72.58,1,600,1,2010,68.01,0.8623804031455027,86.19
2010-06-02T00:00:00,73.93,71.68,72.86,2,600,2,2010,68.01,0.8629402131055927,86.19
2010-06-03T00:00:00,74.95,72.32,74.61,3,600,3,2010,68.01,0.864201654992412,86.19
2010-06-04T00:00:00,75.42,70.73,71.51,4,600,4,2010,68.01,0.863774721231723,86.19
2010-06-07T00:00:00,72.49,69.51,71.44,0,600,7,2010,68.01,0.8632860697236192,86.19
2010-06-08T00:00:00,72.6,70.75,71.99,1,600,8,2010,68.01,0.7049668918364247,82.74
2010-06-09T00:00:00,74.96,72.03,74.38,2,600,9,2010,68.01,0.5308941891286367,79.97
2010-06-10T00:00:00,76.3,73.72,75.48,3,600,10,2010,68.01,0.3416865569357441,77.11
2010-06-11T00:00:00,75.64,73.26,73.78,4,600,11,2010,68.01,0.3297041569861493,76.8
2010-06-14T00:00:00,75.99,74.04,75.12,0,600,14,2010,68.01,0.33592650040651434,76.8
2010-06-15T00:00:00,77.16,74.62,76.94,1,600,15,2010,68.01,0.34838643515584483,76.94
2010-06-16T00:00:00,78.13,76.06,77.67,2,600,16,2010,68.01,0.40058798196714934,77.67
2010-06-17T00:00:00,77.79,76.17,76.79,3,600,17,2010,68.01,0.40544424617847113,77.67
2010-06-18T00:00:00,77.45,75.56,77.18,4,600,18,2010,68.01,0.40865114772623184,77.67
2010-06-21T00:00:00,78.92,76.88,77.82,0,600,21,2010,68.01,0.42152636653693293,77.82
2010-06-22T00:00:00,78.1,76.53,77.21,1,600,22,2010,68.01,0.42412289790997865,77.82
2010-06-23T00:00:00,77.83,75.17,76.35,2,600,23,2010,68.01,0.42976057185044536,77.82
2010-06-24T00:00:00,76.57,75.32,76.51,3,600,24,2010,68.01,0.4355543250161375,77.82
2010-06-25T00:00:00,79.19,75.9,78.86,4,600,25,2010,68.75,0.5019373488404418,78.86
2010-06-28T00:00:00,79.38,77.72,78.25,0,600,28,2010,68.75,0.5103589136990556,78.86
2010-06-29T00:00:00,78.32,75.21,75.94,1,600,29,2010,68.75,0.5242092301257582,78.86
2010-06-30T00:00:00,76.83,74.39,75.63,2,600,30,2010,71.44,0.4643148150342229,78.86
2010-07-01T00:00:00,75.4,72.05,72.95,3,700,1,2010,71.44,0.4762092871415947,78.86
2010-07-02T00:00:00,73.38,71.62,72.14,4,700,2,2010,71.44,0.4872204497993235,78.86
2010-07-06T00:00:00,73.86,71.09,71.98,1,700,6,2010,71.44,0.497534720044999,78.86
2010-07-07T00:00:00,74.92,71.44,74.07,2,700,7,2010,71.44,0.5079429338905965,78.86
2010-07-08T00:00:00,76.0,74.38,75.44,3,700,8,2010,71.44,0.5183103030410922,78.86
2010-07-09T00:00:00,76.48,75.0,76.09,4,700,9,2010,71.44,0.5341353644334605,78.86
2010-07-12T00:00:00,76.43,74.52,74.95,0,700,12,2010,71.44,0.5504593857881257,78.86
2010-07-13T00:00:00,77.37,74.25,77.15,1,700,13,2010,71.98,0.5316645583979462,78.86
2010-07-14T00:00:00,78.15,76.38,77.04,2,700,14,2010,71.98,0.537336496049913,78.86
2010-07-15T00:00:00,77.66,75.33,76.62,3,700,15,2010,71.98,0.5484096932064166,78.86
2010-07-16T00:00:00,77.15,75.25,76.01,4,700,16,2010,71.98,0.561105302301932,78.86
2010-07-19T00:00:00,77.69,75.5,76.54,0,700,19,2010,71.98,0.5745750956391441,78.86
2010-07-20T00:00:00,77.57,75.65,77.44,1,700,20,2010,71.98,0.5941551641561011,78.86
2010-07-21T00:00:00,78.57,76.2,76.56,2,700,21,2010,71.98,0.6122418982212487,78.86
2010-07-22T00:00:00,79.42,76.16,79.3,3,700,22,2010,71.98,0.6504792381504855,79.3
2010-07-23T00:00:00,79.6,78.4,78.98,4,700,23,2010,71.98,0.6629609940961805,79.3
2010-07-26T00:00:00,79.33,78.06,78.98,0,700,26,2010,71.98,0.6861273559169696,79.3
2010-07-27T00:00:00,79.69,76.79,77.5,1,700,27,2010,71.98,0.7211245694039962,79.3
2010-07-28T00:00:00,77.74,75.9,76.99,2,700,28,2010,71.98,0.7624441368252846,79.3
2010-07-29T00:00:00,78.89,76.45,78.36,3,700,29,2010,71.98,0.7804333393262555,79.3
2010-07-30T00:00:00,79.05,76.83,78.95,4,700,30,2010,71.98,0.7838037105152832,79.3
2010-08-02T00:00:00,81.77,78.83,81.34,0,800,2,2010,71.98,0.8289323943688369,81.34
2010-08-03T00:00:00,82.64,81.11,82.55,1,800,3,2010,71.98,0.8343723940761183,82.55
2010-08-04T00:00:00,82.97,81.62,82.47,2,800,4,2010,71.98,0.8280567307621917,82.55
2010-08-05T00:00:00,82.48,81.56,82.01,3,800,5,2010,71.98,0.8232018728535558,82.55
2010-08-06T00:00:00,82.67,80.04,80.7,4,800,6,2010,71.98,0.8213665809228987,82.55
2010-08-09T00:00:00,81.76,80.71,81.48,0,800,9,2010,71.98,0.8195586553930181,82.55
2010-08-10T00:00:00,81.62,79.2,80.25,1,800,10,2010,74.07,0.6483921915017411,82.55
2010-08-11T00:00:00,80.44,77.25,78.02,2,800,11,2010,74.95,0.5706912574671619,82.55
2010-08-12T00:00:00,77.97,75.52,75.74,3,800,12,2010,74.95,0.5871461943990987,82.55
2010-08-13T00:00:00,76.74,75.01,75.39,4,800,13,2010,74.95,0.602369152452173,82.55
2010-08-16T00:00:00,75.95,74.86,75.24,0,800,16,2010,75.24,0.5916317460533971,82.55
2010-08-17T00:00:00,76.63,75.01,75.77,1,800,17,2010,75.24,0.6090634604020255,82.55
2010-08-18T00:00:00,75.74,73.83,75.42,2,800,18,2010,75.24,0.6262860712242241,82.55
2010-08-19T00:00:00,76.1,73.96,74.43,3,800,19,2010,74.43,0.7496881097613802,82.55
2010-08-20T00:00:00,74.6,73.19,73.46,4,800,20,2010,73.46,0.8517516069941693,82.55
2010-08-23T00:00:00,74.48,72.75,73.1,0,800,23,2010,73.1,0.8747652413346361,82.55
2010-08-24T00:00:00,73.05,71.32,71.63,1,800,24,2010,71.63,0.9426433408071575,82.55
