Date,Open,High,Low,Close,Volume,DayNumber,Month_Number,DayMonth,Year,CloseMaxVSubPeriod,CloseAll_Area,CloseminVSuberiod
1983-06-23T00:00:00,31.17,31.3,31.1,31.1,0,3,600,23,1983,29.95,0.8321251097764579,31.6
1983-06-24T00:00:00,31.09,31.24,31.05,31.2,0,4,600,24,1983,30.05,0.7999158743050662,31.6
1983-06-27T00:00:00,31.2,31.3,31.15,31.2,0,0,600,27,1983,30.05,0.8266629526315201,31.6
1983-06-28T00:00:00,31.05,31.25,31.05,31.24,0,1,600,28,1983,30.05,0.8481035478465158,31.6
1983-06-29T00:00:00,31.2,31.2,31.15,31.2,0,2,600,29,1983,30.19,0.7854636660464538,31.6
1983-06-30T00:00:00,31.25,31.4,31.25,31.38,0,3,600,30,1983,30.19,0.7965510022671731,31.6
1983-07-01T00:00:00,31.42,31.45,31.3,31.35,0,4,700,1,1983,30.19,0.8016766220991092,31.6
1983-07-05T00:00:00,31.3,31.3,31.23,31.27,0,1,700,5,1983,30.25,0.7685686813443368,31.6
1983-07-06T00:00:00,31.12,31.2,31.0,31.2,0,2,700,6,1983,30.33,0.7228212238418095,31.6
1983-07-07T00:00:00,31.25,31.4,31.25,31.4,0,3,700,7,1983,30.35,0.708357449818903,31.6
1983-07-08T00:00:00,31.4,31.45,31.38,31.4,0,4,700,8,1983,30.35,0.707708393823385,31.6
1983-07-11T00:00:00,31.5,31.64,31.5,31.64,0,0,700,11,1983,30.35,0.7097765138831764,31.64
1983-07-12T00:00:00,31.71,31.9,31.71,31.72,0,1,700,12,1983,30.49,0.6257112032584631,31.72
1983-07-13T00:00:00,31.89,31.92,31.8,31.87,0,2,700,13,1983,30.49,0.6407641690794283,31.87
1983-07-14T00:00:00,31.8,31.85,31.77,31.85,0,3,700,14,1983,30.49,0.6428006346005286,31.87
1983-07-15T00:00:00,31.8,31.85,31.7,31.7,0,4,700,15,1983,30.77,0.45710589702066695,31.87
1983-07-18T00:00:00,31.8,31.8,31.7,31.7,0,0,700,18,1983,30.95,0.34464521090051703,31.87
1983-07-19T00:00:00,31.62,31.62,31.43,31.62,0,1,700,19,1983,30.95,0.35191921184455544,31.87
1983-07-20T00:00:00,31.65,31.7,31.65,31.65,0,2,700,20,1983,30.95,0.3581222810503455,31.87
1983-07-21T00:00:00,31.6,31.6,31.5,31.51,0,3,700,21,1983,30.95,0.3640712065023777,31.87
1983-07-22T00:00:00,31.55,31.55,31.43,31.46,0,4,700,22,1983,30.95,0.3688800490817167,31.87
1983-07-25T00:00:00,31.35,31.45,31.35,31.4,0,0,700,25,1983,30.95,0.3734809742368028,31.87
1983-07-26T00:00:00,31.42,31.55,31.42,31.53,0,1,700,26,1983,30.95,0.3794882100864011,31.87
1983-07-27T00:00:00,31.75,31.8,31.65,31.73,0,2,700,27,1983,30.95,0.38610651155439,31.87
1983-07-28T00:00:00,31.73,31.88,31.73,31.82,0,3,700,28,1983,31.1,0.30390145355226295,31.87
1983-07-29T00:00:00,31.92,32.02,31.9,32.0,0,4,700,29,1983,31.2,0.2797688428918623,32.0
1983-08-01T00:00:00,32.05,32.12,31.91,32.12,0,0,800,1,1983,31.2,0.30954796484299507,32.12
1983-08-02T00:00:00,32.23,32.35,32.23,32.2,0,1,800,2,1983,31.2,0.3339667287803536,32.2
1983-08-03T00:00:00,32.16,32.2,32.06,32.2,0,2,800,3,1983,31.2,0.3485349274093963,32.2
1983-08-04T00:00:00,32.3,32.3,32.17,32.14,0,3,800,4,1983,31.2,0.36038138973976286,32.2
1983-08-05T00:00:00,32.1,32.15,32.04,32.15,0,4,800,5,1983,31.2,0.37507790679758457,32.2
1983-08-08T00:00:00,32.05,32.05,32.03,32.05,0,0,800,8,1983,31.2,0.3927694453104509,32.2
1983-08-09T00:00:00,31.97,32.04,31.91,31.94,0,1,800,9,1983,31.2,0.41022051397851533,32.2
1983-08-10T00:00:00,32.12,32.23,32.12,32.14,0,2,800,10,1983,31.4,0.30831907514173706,32.2
1983-08-11T00:00:00,32.16,32.18,31.95,31.95,0,3,800,11,1983,31.4,0.322774610902258,32.2
1983-08-12T00:00:00,31.95,32.0,31.95,31.99,0,4,800,12,1983,31.4,0.3405430320763815,32.2
1983-08-15T00:00:00,31.99,32.04,31.99,32.0,0,0,800,15,1983,31.4,0.3573801338605379,32.2
1983-08-16T00:00:00,31.98,32.01,31.98,31.98,0,1,800,16,1983,31.4,0.3705030747407215,32.2
1983-08-17T00:00:00,31.92,31.92,31.82,31.87,0,2,800,17,1983,31.4,0.38446912573726943,32.2
1983-08-18T00:00:00,31.89,31.9,31.7,31.72,0,3,800,18,1983,31.4,0.402928361797221,32.2
1983-08-19T00:00:00,31.63,31.75,31.58,31.65,0,4,800,19,1983,31.4,0.41920118813519713,32.2
1983-08-22T00:00:00,31.5,31.62,31.5,31.53,0,0,800,22,1983,31.4,0.435173576972829,32.2
1983-08-23T00:00:00,31.5,31.65,31.5,31.65,0,1,800,23,1983,31.4,0.456457247424839,32.2
1983-08-24T00:00:00,31.77,31.8,31.55,31.57,0,2,800,24,1983,31.4,0.4784171809310393,32.2
1983-08-25T00:00:00,31.6,31.75,31.6,31.73,0,3,800,25,1983,31.4,0.5018156408542014,32.2
1983-08-26T00:00:00,31.75,31.81,31.75,31.8,0,4,800,26,1983,31.4,0.5261994057648364,32.2
1983-08-29T00:00:00,31.75,31.75,31.65,31.66,0,0,800,29,1983,31.53,0.4377660369671748,32.2
1983-08-30T00:00:00,31.65,31.7,31.56,31.68,0,1,800,30,1983,31.53,0.46523700131999557,32.2
1983-08-31T00:00:00,31.62,31.62,31.58,31.59,0,2,800,31,1983,31.53,0.4878291801570001,32.2
1983-09-01T00:00:00,31.57,31.6,31.53,31.6,0,3,900,1,1983,31.53,0.5129340899552701,32.2
1983-09-02T00:00:00,31.62,31.62,31.53,31.57,0,4,900,2,1983,31.53,0.5469525484067268,32.2
1983-09-06T00:00:00,31.48,31.48,31.31,31.36,0,1,900,6,1983,31.36,0.7492900949115067,32.2
1983-09-07T00:00:00,31.4,31.47,31.36,31.38,0,2,900,7,1983,31.36,0.7633618529855866,32.2
1983-09-08T00:00:00,31.2,31.35,31.2,31.34,0,3,900,8,1983,31.34,0.7812473012359498,32.15
1983-09-09T00:00:00,31.34,31.4,31.21,31.21,0,4,900,9,1983,31.21,0.8667735270529489,32.15
1983-09-12T00:00:00,31.22,31.27,31.14,31.15,0,0,900,12,1983,31.15,0.8836891875116437,32.14
1983-09-13T00:00:00,31.15,31.4,31.15,31.23,0,1,900,13,1983,31.15,0.880261366050007,32.14
1983-09-14T00:00:00,31.14,31.55,31.14,31.4,0,2,900,14,1983,31.15,0.879974974045027,32.14
1983-09-15T00:00:00,31.45,31.65,31.45,31.48,0,3,900,15,1983,31.15,0.8222481321855514,32.0
1983-09-16T00:00:00,31.51,31.56,31.4,31.55,0,4,900,16,1983,31.15,0.836674857617507,32.0
1983-09-19T00:00:00,31.5,31.56,31.4,31.48,0,0,900,19,1983,31.15,0.8449148774321292,32.0
1983-09-20T00:00:00,31.47,31.5,31.3,31.33,0,1,900,20,1983,31.15,0.8348957533905187,31.98
1983-09-21T00:00:00,31.33,31.41,31.2,31.39,0,2,900,21,1983,31.15,0.7454483455229387,31.87
1983-09-22T00:00:00,31.3,31.42,31.3,31.3,0,3,900,22,1983,31.15,0.668836265673532,31.8
1983-09-23T00:00:00,31.33,31.37,31.3,31.3,0,4,900,23,1983,31.15,0.6701404193164809,31.8
1983-09-26T00:00:00,31.26,31.3,31.2,31.22,0,0,900,26,1983,31.15,0.6686178678702673,31.8
1983-09-27T00:00:00,31.15,31.15,31.1,31.11,0,1,900,27,1983,31.11,0.6772476288561414,31.8
1983-09-28T00:00:00,30.72,31.06,30.72,30.76,0,2,900,28,1983,30.76,0.7088153144326903,31.8
1983-09-29T00:00:00,30.84,30.86,30.45,30.6,0,3,900,29,1983,30.6,0.7075730492727276,31.8
1983-09-30T00:00:00,30.55,30.55,30.2,30.36,0,4,900,30,1983,30.36,0.7059099985890198,31.8
1983-10-03T00:00:00,30.32,30.32,29.88,29.92,0,0,1000,3,1983,29.92,0.5966623123560985,31.68
1983-10-04T00:00:00,29.78,30.43,29.7,30.18,0,1,1000,4,1983,29.92,0.6095034034068909,31.68
1983-10-05T00:00:00,30.1,30.8,30.1,30.2,0,2,1000,5,1983,29.92,0.5590863860755729,31.6
1983-10-06T00:00:00,30.14,30.35,30.14,30.26,0,3,1000,6,1983,29.92,0.5762496909466084,31.6
1983-10-07T00:00:00,30.37,30.65,30.37,30.47,0,4,1000,7,1983,29.92,0.5684272881038728,31.57
1983-10-10T00:00:00,30.75,30.85,30.75,30.85,0,0,1000,10,1983,29.92,0.5631549533278082,31.55
1983-10-11T00:00:00,30.76,30.78,30.55,30.57,0,1,1000,11,1983,29.92,0.5747087884422502,31.55
1983-10-12T00:00:00,30.41,30.57,30.41,30.52,0,2,1000,12,1983,29.92,0.5849988128744088,31.55
